TITULO                                             | ID/SLUG                                  | URL
The Seven Deadly Sins: El rencor de Edimburgo  Pa1 | the-seven-deadly-sins-el-rencor-de-edimburgo-parte-1 | https://movidex.lat/the-seven-deadly-sins-el-rencor-de-edimburgo-parte-1/
Un asunto familiar                                 | un-asunto-familiar                       | https://movidex.lat/un-asunto-familiar/
La dolce casa                                      | la-dolce-casa                            | https://movidex.lat/la-dolce-casa/
BetterMan                                          | better-man                               | https://movidex.lat/better-man/
Shadowhunters                                      | shadowhunters                            | https://movidex.lat/shadowhunters/
Eternidad                                          | eternidad                                | https://movidex.lat/eternidad/
Una pareja explosiva 2                             | una-pareja-explosiva-2                   | https://movidex.lat/una-pareja-explosiva-2/
La calle de la Navidad                             | la-calle-de-la-navidad                   | https://movidex.lat/la-calle-de-la-navidad/
Terrifier 3: Payaso Siniestro                      | terrifier-3-payaso-siniestro             | https://movidex.lat/terrifier-3-payaso-siniestro/
Flashover                                          | flashover                                | https://movidex.lat/flashover/
Cometierra                                         | cometierra                               | https://movidex.lat/cometierra/
300: El Nacimiento de un Imperio                   | 300-el-nacimiento-de-un-imperio          | https://movidex.lat/300-el-nacimiento-de-un-imperio/
Gran Bretaña y el Blitz                            | gran-bretana-y-el-blitz                  | https://movidex.lat/gran-bretana-y-el-blitz/
Bodas de plomo                                     | bodas-de-plomo                           | https://movidex.lat/bodas-de-plomo/
BoJack Horseman                                    | bojack-horseman                          | https://movidex.lat/bojack-horseman/
One Chicago Crossover Event                        | one-chicago-crossover-event              | https://movidex.lat/one-chicago-crossover-event/
Doble Amenaza                                      | doble-amenaza                            | https://movidex.lat/doble-amenaza/
Nunca más                                          | nunca-mas                                | https://movidex.lat/nunca-mas/
Un desastre es para siempre                        | un-desastre-es-para-siempre              | https://movidex.lat/un-desastre-es-para-siempre/
El castillo de cristal                             | el-castillo-de-cristal                   | https://movidex.lat/el-castillo-de-cristal/
Fuerza-G: Licencia para espiar                     | fuerza-g-licencia-para-espiar            | https://movidex.lat/fuerza-g-licencia-para-espiar/
La vieja guardia                                   | la-vieja-guardia                         | https://movidex.lat/la-vieja-guardia/
La partida de go                                   | la-partida-de-go                         | https://movidex.lat/la-partida-de-go/
Juego de patriotas                                 | juego-de-patriotas                       | https://movidex.lat/juego-de-patriotas/
Bandidos                                           | bandidos                                 | https://movidex.lat/bandidos/
Entrenando a Papá                                  | entrenando-a-papa                        | https://movidex.lat/entrenando-a-papa/
Satán                                              | satan                                    | https://movidex.lat/satan/
¿Quién mató a Sara?                                | quien-mato-a-sara                        | https://movidex.lat/quien-mato-a-sara/
Camino Hacia el Terror 5                           | camino-hacia-el-terror-5                 | https://movidex.lat/camino-hacia-el-terror-5/
Fin de semana en Croacia                           | fin-de-semana-en-croacia                 | https://movidex.lat/fin-de-semana-en-croacia/
La raíz del miedo                                  | la-raiz-del-miedo                        | https://movidex.lat/la-raiz-del-miedo/
Bastion 36                                         | bastion-36                               | https://movidex.lat/bastion-36/
El río del terror                                  | el-rio-del-terror                        | https://movidex.lat/el-rio-del-terror/
Humana por accidente                               | humana-por-accidente                     | https://movidex.lat/humana-por-accidente/
Actividad Paranormal                               | actividad-paranormal                     | https://movidex.lat/actividad-paranormal/
Buen chico                                         | buen-chico                               | https://movidex.lat/buen-chico/
Superman 2025                                      | superman-2025                            | https://movidex.lat/superman-2025/
Resident Evil: El Huésped Maldito                  | resident-evil-el-huesped-maldito         | https://movidex.lat/resident-evil-el-huesped-maldito/
En el juego del asesino                            | en-el-juego-del-asesino                  | https://movidex.lat/en-el-juego-del-asesino/
Respira                                            | respira                                  | https://movidex.lat/respira/
Mesa de regalos                                    | mesa-de-regalos                          | https://movidex.lat/mesa-de-regalos/
Todopoderoso                                       | todopoderoso                             | https://movidex.lat/todopoderoso/
El jorobado de Notre Dame                          | el-jorobado-de-notre-dame                | https://movidex.lat/el-jorobado-de-notre-dame/
Jurassic World: Renace                             | jurassic-world-renace                    | https://movidex.lat/jurassic-world-renace/
Desapareció una Noche                              | desaparecio-una-noche                    | https://movidex.lat/desaparecio-una-noche/
La Acompañante                                     | la-acompanante                           | https://movidex.lat/la-acompanante/
Parpadea dos veces                                 | parpadea-dos-veces                       | https://movidex.lat/parpadea-dos-veces/
Efectos colaterales                                | efectos-colaterales                      | https://movidex.lat/efectos-colaterales/
La Razón De Estar Contigo 2: Un Nuevo Viaje        | la-razon-de-estar-contigo-2-un-nuevo-viaje | https://movidex.lat/la-razon-de-estar-contigo-2-un-nuevo-viaje/
Love, Victor                                       | love-victor                              | https://movidex.lat/love-victor/
Fear the Walking Dead                              | fear-the-walking-dead                    | https://movidex.lat/fear-the-walking-dead/
La Reina del Flow                                  | la-reina-del-flow                        | https://movidex.lat/la-reina-del-flow/
The Acolyte                                        | the-acolyte                              | https://movidex.lat/the-acolyte/
Las ruinas                                         | las-ruinas                               | https://movidex.lat/las-ruinas/
El Atraco                                          | el-atraco                                | https://movidex.lat/el-atraco/
El asesino con ojos de corazón                     | el-asesino-con-ojos-de-corazon           | https://movidex.lat/el-asesino-con-ojos-de-corazon/
La Teoría del Big Bang                             | la-teoria-del-big-bang                   | https://movidex.lat/la-teoria-del-big-bang/
En el barro                                        | en-el-barro                              | https://movidex.lat/en-el-barro/
Un amigo abominable                                | un-amigo-abominable                      | https://movidex.lat/un-amigo-abominable/
Sex Education                                      | sex-education                            | https://movidex.lat/sex-education/
Peaky Blinders                                     | peaky-blinders                           | https://movidex.lat/peaky-blinders/
Libre                                              | libre                                    | https://movidex.lat/libre/
El que no gana no ama                              | el-que-no-gana-no-ama                    | https://movidex.lat/el-que-no-gana-no-ama/
La isla de los faisanes                            | la-isla-de-los-faisanes                  | https://movidex.lat/la-isla-de-los-faisanes/
Venganza Silenciosa                                | venganza-silenciosa                      | https://movidex.lat/venganza-silenciosa/
Moana 2                                            | moana-2                                  | https://movidex.lat/moana-2/
Frankenstein                                       | frankenstein                             | https://movidex.lat/frankenstein/
No respires                                        | no-respires                              | https://movidex.lat/no-respires/
¡Cuidado: Bebé suelto!                             | cuidado-bebe-suelto                      | https://movidex.lat/cuidado-bebe-suelto/
Los Muppets                                        | los-muppets                              | https://movidex.lat/los-muppets/
Naruto: Guardianes del Reino de la Luna Creciente  | naruto-guardianes-del-reino-de-la-luna-creciente | https://movidex.lat/naruto-guardianes-del-reino-de-la-luna-creciente/
Policías y Ratones                                 | policias-y-ratones                       | https://movidex.lat/policias-y-ratones/
El Día Del Fin Del Mundo: Migración                | el-dia-del-fin-del-mundo-migracion       | https://movidex.lat/el-dia-del-fin-del-mundo-migracion/
Yo estuve aquí                                     | yo-estuve-aqui                           | https://movidex.lat/yo-estuve-aqui/
Peter Pan: Pesadilla en la tierra del nunca jamás  | peter-pan-pesadilla-en-la-tierra-del-nunca-jamas | https://movidex.lat/peter-pan-pesadilla-en-la-tierra-del-nunca-jamas/
Vincenzo                                           | vincenzo                                 | https://movidex.lat/vincenzo/
Bob Esponja: En busca de los pantalones cuadrados  | bob-esponja-en-busca-de-los-pantalones-cuadrados | https://movidex.lat/bob-esponja-en-busca-de-los-pantalones-cuadrados/
Drop: Amenaza anónima                              | drop-amenaza-anonima                     | https://movidex.lat/drop-amenaza-anonima/
Los Intocables                                     | los-intocables                           | https://movidex.lat/los-intocables/
Barbie: Escuela de Princesas                       | barbie-escuela-de-princesas              | https://movidex.lat/barbie-escuela-de-princesas/
Merlina                                            | merlina                                  | https://movidex.lat/merlina/
Leroy y Stitch                                     | leroy-y-stitch                           | https://movidex.lat/leroy-y-stitch/
Monkey Man: El Despertar De La Bestia              | monkey-man-el-despertar-de-la-bestia     | https://movidex.lat/monkey-man-el-despertar-de-la-bestia/
Mulán                                              | mulan                                    | https://movidex.lat/mulan/
¿Estoy bien?                                       | estoy-bien                               | https://movidex.lat/estoy-bien/
Ni en tus sueños                                   | ni-en-tus-suenos                         | https://movidex.lat/ni-en-tus-suenos/
Sueños de trenes                                   | suenos-de-trenes                         | https://movidex.lat/suenos-de-trenes/
Otro viernes de locos                              | otro-viernes-de-locos                    | https://movidex.lat/otro-viernes-de-locos/
Inexplicable                                       | inexplicable                             | https://movidex.lat/inexplicable/
Misión Imposible 6: Repercusión                    | mision-imposible-6-repercusion           | https://movidex.lat/mision-imposible-6-repercusion/
No Manches Frida                                   | no-manches-frida                         | https://movidex.lat/no-manches-frida/
Rebel Ridge                                        | rebel-ridge                              | https://movidex.lat/rebel-ridge/
Oculus: El reflejo del mal                         | oculus-el-reflejo-del-mal                | https://movidex.lat/oculus-el-reflejo-del-mal/
Un lugar para soñar                                | un-lugar-para-sonar                      | https://movidex.lat/un-lugar-para-sonar/
Aguas profundas                                    | aguas-profundas                          | https://movidex.lat/aguas-profundas/
Fuera de Control                                   | fuera-de-control                         | https://movidex.lat/fuera-de-control/
Noche De Venganza                                  | noche-de-venganza                        | https://movidex.lat/noche-de-venganza/
Si decido quedarme                                 | si-decido-quedarme                       | https://movidex.lat/si-decido-quedarme/
E.T. El Extraterrestre                             | e-t-el-extraterrestre                    | https://movidex.lat/e-t-el-extraterrestre/
